FORM,WEAPON,ELEMENT,ANIMAL,SPECIAL BODY PART,COLORS,OCCUPATION,LOCATION ,NATURE,MISC,POS PERSONALITY,NUE PERSONALITY,NEG PERSONALITY,TROPE
ALIEN,ARROW,AIR,BEAR,3RD EYE,ALICEBLUE,ABATTOIR OPERATIVE - FOOD AND DRINK MANUFACTURING,A VILLA,NONE,ANCIENTS,ACCESSIBLE,ABSENTMINDED,ABRASIVE,DANDERE
BEAST,AXE,EARTH,CAT,ARMS,ANTIQUEWHITE,ACCOMMODATION WARDEN - FACILITIES MANAGEMENT,ABATTOIR (SLAUGHTERHOUSE),BUBBLES,BEAD,ACTIVE,AGGRESSIVE,ABRUPT,DEREDERE
DEMON,BATTLEAXE,ELECTRICITY ,COW,BLOOD,AQUA,ACCOUNTANT - MANAGEMENT - ACCOUNTANCY,ABBEY,CACTUS,BELLS,ADAPTABLE,AMBITIOUS,AGONIZING,FREE
DRAGON,BLOWGUN,ENERGY,DEER,BONE,AQUAMARINE,ACCOUNTANT - PRIVATE PRACTICE - ACCOUNTANCY,"ACADEMY (+ ALCHEMIST, ARCANE, ARTIFICER’S, BARDS, HEALERS, MAGES, MILITARY, NAVAL, ROYAL, SCIENCE)",CLOUDS,BOOK,ADMIRABLE,AMUSING,AIMLESS,HIMBO/BIMBO
ELF,BOMBS ,FIRE,DOG,EARS,AZURE,ACCOUNTANT - PUBLIC SECTOR - ACCOUNTANCY,ACADIA NATIONAL PARK,CORAL,BOOTS,ADVENTUROUS,ARTFUL,AIRY,HIME/OUJI DERE
FAIRY,BOW,ICE ,FOX,EYES,BEIGE,ACCOUNTING TECHNICIAN - ACCOUNTANCY,"ACROPOLIS, GREECE",CRYSTAL,CANDLES,AGREEABLE,ASCETIC,ALOOF,KAMIDERE
FREE,CHAIN,LIGHT,FROG,HAIR,BISQUE,ACCOUNTS ASSISTANT - FINANCIAL SERVICES,AD AGENCY,DUST,CARDS,ALERT,AUTHORITARIAN,AMORAL,KUUDERE
GHOST,CLUB,METAL,GOAT,HANDS,BLACK,ACTOR,AIRCRAFT,FEATHER,CASTLE,ALLOCENTRIC,BIG-THINKING,ANGRY,IDIOT
GHOUL,"CROSSBOW, HAND",TIME,RABBIT,HORNS,CHARTREUSE,ACTOR - DRAMA AND THEATRE TECHNOLOGY,AMERICAN MUSEUM OF NATURAL HISTORY,MOSS,GAMBLING,ATTRACTIVE,CHUMMY,ASOCIAL,NONE
HUMAN,"CROSSBOW, HEAVY",WATER,TANUKI,LEGS,CHOCOLATE,ACTUARY - FINANCIAL SERVICES,AMPHITHEATER,MUSHROOM,GLITCH,BALANCED,CIRCUMSPECT,ASSERTIVE,
